country,year,corruption_index,homicide_rate,GDP,total_fisheries_per_ton,total_military,population,unemployment_rate,totalgr,industryofgdp
ABW,1993.0,20.128705952028426,8.142302797744897,14936.8272187795,260,166722,72504,8,0,0
ABW,1994.0,20.128705952028426,8.142302797744897,16241.0465209443,260,166722,76700,8,0,0
ABW,1995.0,20.128705952028426,7.4697475225,16439.3563609282,140,166722,80324,8,0,0
ABW,1996.0,20.128705952028426,8.142302797744897,16586.0684357542,160,166722,83200,8,0,0
ABW,1997.0,20.128705952028426,8.142302797744897,17927.7496352086,205,166722,85451,8,0,0
ABW,1998.0,20.128705952028426,8.142302797744897,19078.3431907515,182,166722,87277,8,0,0
ABW,1999.0,20.128705952028426,2.2469637902,19356.2033894901,175,166722,89005,8,0,0
ABW,2000.0,20.128705952028426,8.142302797744897,20620.7006259175,163,166722,90853,8,0,0
ABW,2001.0,20.128705952028426,4.3060758731,20669.0319688645,163,166722,92898,8,0,0
ABW,2002.0,20.128705952028426,5.2636011454,20436.8871286309,163,166722,94992,8,0,0
ABW,2003.0,20.128705952028426,4.1230312526,20833.7616116694,160,166722,97017,8,0,0
ABW,2004.0,20.128705952028426,2.0254395204,22569.9749851801,162,166722,98737,8,0,0
ABW,2005.0,20.128705952028426,5.9983204703,23300.0395575696,162,166722,100031,8,0,0
ABW,2006.0,20.128705952028426,4.9588416146,24045.2724833547,145,166722,100834,8,0,0
ABW,2007.0,20.128705952028426,2.9636654614,25835.1326676284,159,166722,101222,8,0,0
ABW,2008.0,20.128705952028426,4.9328150589,27084.7036903653,151,166722,101358,8,0,0
ABW,2009.0,20.128705952028426,3.9427512518,24630.4537141023,163,166722,101455,8,0,0
ABW,2010.0,20.128705952028426,3.9344907294,23512.6025956397,153,166722,101669,8,0,0
ABW,2011.0,20.128705952028426,1.9598236159,24985.9932813737,168,166722,102046,8,0,0
ABW,2012.0,20.128705952028426,3.8999658753,24713.6980451285,138,166722,102560,8,0,0
ABW,2013.0,20.128705952028426,5.8159259439,26189.4355088129,142,166722,103159,8,0,0
ABW,2014.0,20.128705952028426,1.9272278754,26647.938100985,142,166722,103774,8,0,0
ABW,2015.0,20.128705952028426,8.142302797744897,27980.8806952751,142,166722,104341,8,0,0
ABW,2016.0,20.128705952028426,8.142302797744897,28281.35048163,142,166722,104872,8,0,0
ABW,2017.0,20.128705952028426,8.142302797744897,29007.6930034887,726717,166722,105366,8,0,0
ABW,2018.0,20.128705952028426,8.142302797744897,12774.587920828764,726717,166722,105845,8,0,0
ABW,2019.0,20.128705952028426,8.142302797744897,12774.587920828764,726717,166722,106314,8,0,0
AFG,1993.0,20.128705952028426,8.142302797744897,12774.587920828764,1500,45000,15816603,11,0,0
AFG,1994.0,20.128705952028426,8.142302797744897,12774.587920828764,1600,45000,17075727,11,0,0
AFG,1995.0,20.128705952028426,8.142302797744897,12774.587920828764,1600,383000,18110657,11,0,0
AFG,1996.0,20.128705952028426,8.142302797744897,12774.587920828764,1600,429000,18853437,11,0,0
AFG,1997.0,20.128705952028426,8.142302797744897,12774.587920828764,1550,429000,19357126,11,0,0
AFG,1998.0,20.128705952028426,8.142302797744897,12774.587920828764,1500,400000,19737765,11,0,0
AFG,1999.0,20.128705952028426,8.142302797744897,12774.587920828764,1500,400000,20170844,11,0,0
AFG,2000.0,20.128705952028426,8.142302797744897,12774.587920828764,1300,400000,20779953,11,0,0
AFG,2001.0,20.128705952028426,8.142302797744897,12774.587920828764,1250,166722,21606988,11,0,0
